OptionLongName,Strike,Expiration,CallPut,ImpliedVolatility,Volume,OpenInterest,Delta
SPXW 140103P1830000,1830,1/3/2014,P,0.209375,2800,4290,-0.180868
SPXW 140103C1835000,1835,1/3/2014,C,0.136502,251,3568,0.84422
SPXW 140103P1835000,1835,1/3/2014,P,0.202987,2582,4022,-0.247107
SPXW 140103C1840000,1840,1/3/2014,C,0.146013,1013,13127,0.722606
SPXW 140103P1840000,1840,1/3/2014,P,0.199655,5103,8471,-0.331975
SPXW 140103C1845000,1845,1/3/2014,C,0.153548,2425,4246,0.58877
SPXW 140103P1845000,1845,1/3/2014,P,0.202987,817,5644,-0.431672
SPXW 140103C1850000,1850,1/3/2014,C,0.158637,6539,12125,0.456811
SPXW 140103P1850000,1850,1/3/2014,P,0.207346,839,144,-0.53213
SPXW 140103C1855000,1855,1/3/2014,C,0.164377,3022,3394,0.337944
SPXW 140103P1855000,1855,1/3/2014,P,0.21618,46,924,-0.623767
SPXW 140103C1860000,1860,1/3/2014,C,0.170361,22663,9284,0.24042
SPXW 140103P1860000,1860,1/3/2014,P,0.232348,5,85,-0.696352
SPXW 140103C1865000,1865,1/3/2014,C,0.174515,19071,3202,0.163093
SPXW 140103P1865000,1865,1/3/2014,P,0.246152,26,28,-0.755766
SPXW 140103C1870000,1870,1/3/2014,C,0.183895,3413,6493,0.113248
SPXW 140103P1870000,1870,1/3/2014,P,0.261235,3,45,-0.801714
SPXW 140103C1875000,1875,1/3/2014,C,0.194199,29782,8632,0.07965
SPXW 140103P1875000,1875,1/3/2014,P,0.280385,0,23,-0.834176
SPXW 140103C1880000,1880,1/3/2014,C,0.204533,3657,2351,0.056535
SPXW 140103P1880000,1880,1/3/2014,P,0.306785,0,20,-0.853542
SPXW 140103C1885000,1885,1/3/2014,C,0.216057,14315,1111,0.041432
SPXW 140103P1885000,1885,1/3/2014,P,0.333682,0,0,-0.868137
SPXW 140103C1890000,1890,1/3/2014,C,0.225608,732,1430,0.029736
SPXW 140103P1890000,1890,1/3/2014,P,0.371817,0,0,-0.872275
SPXW 140103C1895000,1895,1/3/2014,C,0.233911,1992,3502,0.021021
SPXW 140103P1895000,1895,1/3/2014,P,0.386089,1,4,-0.88974
SPXW 140103C1900000,1900,1/3/2014,C,0.242527,643,3735,0.015076
SPXW 140103P1900000,1900,1/3/2014,P,0.412137,0,0,-0.897692
SPXW 140103C1905000,1905,1/3/2014,C,0.245258,1144,1455,0.009424
SPXW 140103P1905000,1905,1/3/2014,P,0.437376,0,0,-0.904699
SPXW 140103C1910000,1910,1/3/2014,C,0.273507,744,6368,0.01108
SPXW 140103P1910000,1910,1/3/2014,P,0.477428,0,0,-0.903514
SPXW 140103C1915000,1915,1/3/2014,C,0.282042,43,6608,0.008309
SPXW 140103P1915000,1915,1/3/2014,P,0.50822,0,0,-0.906529
SPXW 140103C1920000,1920,1/3/2014,C,0.300153,65,1116,0.007854
SPXW 140103P1920000,1920,1/3/2014,P,0.545032,0,0,-0.906594
SPXW 140103C1925000,1925,1/3/2014,C,0.318094,162,2713,0.007453
SPXW 140103P1925000,1925,1/3/2014,P,0.572316,0,0,-0.910286
SPXW 140103C1930000,1930,1/3/2014,C,0.335877,815,1656,0.007096
SPXW 140103P1930000,1930,1/3/2014,P,0.589231,0,0,-0.917311
SPXW 140103C1935000,1935,1/3/2014,C,0.337822,474,220,0.004876
SPXW 140103P1935000,1935,1/3/2014,P,0.597577,0,0,-0.926482
SPXW 140103C1940000,1940,1/3/2014,C,0.330585,1932,2752,0.00263
SPXW 140103P1940000,1940,1/3/2014,P,0.637955,0,0,-0.924145
SPXW 140103C1945000,1945,1/3/2014,C,0.346387,1249,1189,0.00252
SPXW 140103P1945000,1945,1/3/2014,P,0.663584,0,0,-0.9266
SPXW 140103C1950000,1950,1/3/2014,C,0.362082,659,2675,0.002419
SPXW 140103P1950000,1950,1/3/2014,P,0.700153,0,0,-0.925535
SPXW 140103C1960000,1960,1/3/2014,C,0.393168,111,1881,0.002243
SPXW 140103P1960000,1960,1/3/2014,P,0.754446,0,0,-0.928705
SPXW 140103C1975000,1975,1/3/2014,C,0.43909,87,5709,0.002026
SPXW 140103P1975000,1975,1/3/2014,P,0.824587,0,0,-0.935057
SPXW 140103C2000000,2000,1/3/2014,C,0.513932,0,1508,0.001753
SPXW 140103P2000000,2000,1/3/2014,P,0.94379,0,0,-0.94202
SPXW 140110P1375000,1375,1/10/2014,P,0.619555,35,143,-0.000543
SPXW 140110P1400000,1400,1/10/2014,P,0.640147,61,3100,-0.001465
SPXW 140110P1410000,1410,1/10/2014,P,0.641712,100,10,-0.001907
SPXW 140110P1420000,1420,1/10/2014,P,0.639796,7,162,-0.00235
SPXW 140110P1425000,1425,1/10/2014,P,0.63197,330,251,-0.002378
SPXW 140110P1430000,1430,1/10/2014,P,0.635535,322,167,-0.002798
SPXW 140110P1440000,1440,1/10/2014,P,0.619748,16,108,-0.002865
SPXW 140110P1450000,1450,1/10/2014,P,0.604045,1100,196,-0.002935
SPXW 140110P1455000,1455,1/10/2014,P,0.596223,220,143,-0.002972
SPXW 140110P1460000,1460,1/10/2014,P,0.588423,0,171,-0.003009
SPXW 140110P1465000,1465,1/10/2014,P,0.580639,168,157,-0.003047
SPXW 140110P1470000,1470,1/10/2014,P,0.582067,210,114,-0.003502
SPXW 140110P1475000,1475,1/10/2014,P,0.565132,11002,263,-0.003125
SPXW 140110P1480000,1480,1/10/2014,P,0.566386,0,125,-0.003593
SPXW 140110P1485000,1485,1/10/2014,P,0.558574,494,80,-0.00364
SPXW 140110P1490000,1490,1/10/2014,P,0.558674,0,150,-0.004113
SPXW 140110P1495000,1495,1/10/2014,P,0.557923,5,86,-0.004587
SPXW 140110P1500000,1500,1/10/2014,P,0.542954,168,1718,-0.004225
SPXW 140110P1505000,1505,1/10/2014,P,0.542069,15,260,-0.004712
SPXW 140110P1510000,1510,1/10/2014,P,0.534169,121,241,-0.004777
SPXW 140110P1515000,1515,1/10/2014,P,0.53254,5,215,-0.005274
SPXW 140110P1520000,1520,1/10/2014,P,0.524596,1635,293,-0.005349
SPXW 140110P1525000,1525,1/10/2014,P,0.522345,1331,6351,-0.005857
SPXW 140110P1530000,1530,1/10/2014,P,0.508755,1225,1448,-0.005504
SPXW 140110P1535000,1535,1/10/2014,P,0.506392,60,68,-0.006029
SPXW 140110P1540000,1540,1/10/2014,P,0.503559,304,2252,-0.006559
SPXW 140110P1545000,1545,1/10/2014,P,0.500318,13,52,-0.007096
SPXW 140110P1550000,1550,1/10/2014,P,0.492265,491,1520,-0.007204
SPXW 140110P1555000,1555,1/10/2014,P,0.484227,58,1850,-0.007314
SPXW 140110P1560000,1560,1/10/2014,P,0.476203,9,257,-0.007429
SPXW 140110P1565000,1565,1/10/2014,P,0.472467,67,128,-0.008003
SPXW 140110P1570000,1570,1/10/2014,P,0.464411,1111,432,-0.008131
SPXW 140110P1575000,1575,1/10/2014,P,0.460322,265,949,-0.008726
SPXW 140110P1580000,1580,1/10/2014,P,0.455957,130,31,-0.009331
SPXW 140110P1585000,1585,1/10/2014,P,0.451343,89,106,-0.009948
SPXW 140110P1590000,1590,1/10/2014,P,0.443174,0,254,-0.010118
SPXW 140110P1595000,1595,1/10/2014,P,0.438295,209,188,-0.010761
SPXW 140110P1600000,1600,1/10/2014,P,0.433208,2903,3112,-0.011419
SPXW 140110P1605000,1605,1/10/2014,P,0.424975,61,865,-0.011621
SPXW 140110P1610000,1610,1/10/2014,P,0.419661,156,240,-0.01231
SPXW 140110P1615000,1615,1/10/2014,P,0.414171,148,126,-0.013018
SPXW 140110P1620000,1620,1/10/2014,P,0.405875,66,767,-0.01326
SPXW 140110P1625000,1625,1/10/2014,P,0.400186,920,877,-0.014004
SPXW 140110P1630000,1630,1/10/2014,P,0.394343,151,599,-0.014769
SPXW 140110P1635000,1635,1/10/2014,P,0.385984,729,97,-0.015061
SPXW 140110P1640000,1640,1/10/2014,P,0.379962,25,121,-0.015869
SPXW 140110P1645000,1645,1/10/2014,P,0.373802,198,238,-0.016704
SPXW 140110P1650000,1650,1/10/2014,P,0.367513,934,3541,-0.017565
SPXW 140110P1655000,1655,1/10/2014,P,0.356959,342,187,-0.017416
SPXW 140110P1660000,1660,1/10/2014,P,0.354568,220,245,-0.019381
SPXW 140110P1665000,1665,1/10/2014,P,0.34604,218,141,-0.019812
SPXW 140110P1670000,1670,1/10/2014,P,0.341164,658,3169,-0.021333
SPXW 140110P1675000,1675,1/10/2014,P,0.334301,309,3056,-0.022367
SPXW 140110P1680000,1680,1/10/2014,P,0.328967,38,1241,-0.023982
SPXW 140110P1685000,1685,1/10/2014,P,0.320264,311,507,-0.024566
SPXW 140110P1690000,1690,1/10/2014,P,0.314608,32,1140,-0.026291
SPXW 140110P1695000,1695,1/10/2014,P,0.30583,10,92,-0.026966
SPXW 140110P1700000,1700,1/10/2014,P,0.298469,446,1747,-0.028248
SPXW 140110P1705000,1705,1/10/2014,P,0.291013,60,1386,-0.029596
SPXW 140110P1710000,1710,1/10/2014,P,0.283462,81,997,-0.031013
SPXW 140110P1715000,1715,1/10/2014,P,0.278295,8,761,-0.03369
SPXW 140110P1720000,1720,1/10/2014,P,0.27163,19,302,-0.035882
SPXW 140110P1725000,1725,1/10/2014,P,0.264772,1317,2291,-0.038183
SPXW 140110P1730000,1730,1/10/2014,P,0.257728,176,3283,-0.040607
SPXW 140110P1735000,1735,1/10/2014,P,0.250502,87,159,-0.043166
SPXW 140110P1740000,1740,1/10/2014,P,0.244043,135,838,-0.046493
SPXW 140110P1745000,1745,1/10/2014,P,0.23731,25,2726,-0.050003
SPXW 140110P1750000,1750,1/10/2014,P,0.230314,2260,6290,-0.053719
SPXW 140110P1755000,1755,1/10/2014,P,0.223064,766,983,-0.057669
SPXW 140110P1760000,1760,1/10/2014,P,0.216311,767,3792,-0.062521
SPXW 140110P1765000,1765,1/10/2014,P,0.209229,300,1441,-0.06769
SPXW 140110P1770000,1770,1/10/2014,P,0.202482,385,1542,-0.073866
SPXW 140110P1775000,1775,1/10/2014,P,0.197162,373,3188,-0.082384
SPXW 140110P1780000,1780,1/10/2014,P,0.190654,260,1135,-0.090776
SPXW 140110P1785000,1785,1/10/2014,P,0.184675,98,388,-0.101022
SPXW 140110C1790000,1790,1/10/2014,C,0.144716,0,1055,0.931558
SPXW 140110P1790000,1790,1/10/2014,P,0.178539,245,4275,-0.112596
SPXW 140110C1795000,1795,1/10/2014,C,0.142327,11,127,0.916243
SPXW 140110P1795000,1795,1/10/2014,P,0.173055,39,258,-0.126816
SPXW 140110C1800000,1800,1/10/2014,C,0.140532,75,6065,0.896945
SPXW 140110P1800000,1800,1/10/2014,P,0.167544,326,13749,-0.143188
SPXW 140110C1805000,1805,1/10/2014,C,0.13431,0,681,0.881552
SPXW 140110P1805000,1805,1/10/2014,P,0.161494,117,244,-0.161296
SPXW 140110C1810000,1810,1/10/2014,C,0.132158,3,8879,0.855574
SPXW 140110P1810000,1810,1/10/2014,P,0.157272,362,6922,-0.185053
SPXW 140110C1815000,1815,1/10/2014,C,0.132457,0,866,0.820652
SPXW 140110P1815000,1815,1/10/2014,P,0.152385,169,522,-0.211271
SPXW 140110C1820000,1820,1/10/2014,C,0.130359,3,4330,0.785234
SPXW 140110P1820000,1820,1/10/2014,P,0.149109,571,554,-0.243672
SPXW 140110C1825000,1825,1/10/2014,C,0.127977,2323,2981,0.745281
SPXW 140110P1825000,1825,1/10/2014,P,0.144719,2434,1699,-0.278632
SPXW 140110C1830000,1830,1/10/2014,C,0.124578,1025,2590,0.7016
SPXW 140110P1830000,1830,1/10/2014,P,0.140727,1224,738,-0.318586
SPXW 140110C1835000,1835,1/10/2014,C,0.122056,26,1259,0.651236
SPXW 140110P1835000,1835,1/10/2014,P,0.138286,208,300,-0.364536
SPXW 140110C1840000,1840,1/10/2014,C,0.119522,148,2080,0.595949
SPXW 140110P1840000,1840,1/10/2014,P,0.135103,92,809,-0.413701
SPXW 140110C1845000,1845,1/10/2014,C,0.116724,241,610,0.536386
SPXW 140110P1845000,1845,1/10/2014,P,0.133796,166,85,-0.466921
SPXW 140110C1850000,1850,1/10/2014,C,0.116195,940,1845,0.473853
SPXW 140110P1850000,1850,1/10/2014,P,0.131859,2086,1086,-0.52179
SPXW 140110C1855000,1855,1/10/2014,C,0.115077,204,427,0.411084
SPXW 140110P1855000,1855,1/10/2014,P,0.129657,0,10,-0.577872
SPXW 140110C1860000,1860,1/10/2014,C,0.11431,393,356,0.349974
SPXW 140110P1860000,1860,1/10/2014,P,0.12856,15,16,-0.632932
SPXW 140110C1865000,1865,1/10/2014,C,0.11353,488,3080,0.291903
SPXW 140110P1865000,1865,1/10/2014,P,0.129782,0,27,-0.68292
SPXW 140110C1870000,1870,1/10/2014,C,0.112941,191,765,0.238584
SPXW 140110P1870000,1870,1/10/2014,P,0.132871,0,16,-0.725863
SPXW 140110C1875000,1875,1/10/2014,C,0.113611,763,9895,0.19344
SPXW 140110P1875000,1875,1/10/2014,P,0.13381,0,4,-0.767501
SPXW 140110C1880000,1880,1/10/2014,C,0.114267,813,476,0.154423
SPXW 140110P1880000,1880,1/10/2014,P,0.137549,0,0,-0.79978
SPXW 140110C1885000,1885,1/10/2014,C,0.115906,355,547,0.123477
SPXW 140110P1885000,1885,1/10/2014,P,0.141681,0,0,-0.826937
SPXW 140110C1890000,1890,1/10/2014,C,0.117568,470,992,0.097944
SPXW 140110P1890000,1890,1/10/2014,P,0.143474,0,0,-0.854197
SPXW 140110C1895000,1895,1/10/2014,C,0.120485,258,349,0.079314
SPXW 140110P1895000,1895,1/10/2014,P,0.155436,0,16,-0.861343
SPXW 140110C1900000,1900,1/10/2014,C,0.12374,397,1554,0.064768
SPXW 140110P1900000,1900,1/10/2014,P,0.162875,0,2,-0.873844
SPXW 140110C1905000,1905,1/10/2014,C,0.126264,693,508,0.051983
SPXW 140110P1905000,1905,1/10/2014,P,0.162916,0,27,-0.894921
SPXW 140110C1910000,1910,1/10/2014,C,0.130078,503,2320,0.043283
SPXW 140110P1910000,1910,1/10/2014,P,0.170838,0,27,-0.902734
SPXW 140110C1915000,1915,1/10/2014,C,0.133928,376,176,0.036261
SPXW 140110P1915000,1915,1/10/2014,P,0.187053,0,16,-0.899166
SPXW 140110C1920000,1920,1/10/2014,C,0.138102,688,84,0.030848
SPXW 140110P1920000,1920,1/10/2014,P,0.193656,0,26,-0.907091
SPXW 140110C1925000,1925,1/10/2014,C,0.142963,107,210,0.026983
SPXW 140110P1925000,1925,1/10/2014,P,0.203283,0,0,-0.910725
SPXW 140110C1930000,1930,1/10/2014,C,0.145596,404,96,0.022099
SPXW 140110P1930000,1930,1/10/2014,P,0.208007,0,0,-0.91894
SPXW 140110C1935000,1935,1/10/2014,C,0.149053,4,55,0.01866
SPXW 140110P1935000,1935,1/10/2014,P,0.22217,0,0,-0.917032
SPXW 140110C1940000,1940,1/10/2014,C,0.153962,223,154,0.016655
SPXW 140110P1940000,1940,1/10/2014,P,0.228956,0,0,-0.922088
SPXW 140110C1945000,1945,1/10/2014,C,0.158514,157,182,0.014771
SPXW 140110P1945000,1945,1/10/2014,P,0.236769,0,16,-0.925704
SPXW 140110C1950000,1950,1/10/2014,C,0.162667,309,390,0.012982
SPXW 140110P1950000,1950,1/10/2014,P,0.229903,0,0,-0.941047
SPXW 140110C1960000,1960,1/10/2014,C,0.165757,801,109,0.008351
SPXW 140110P1960000,1960,1/10/2014,P,0.266217,0,0,-0.929901
SPXW 140110C1975000,1975,1/10/2014,C,0.179662,1671,106,0.00634
SPXW 140110P1975000,1975,1/10/2014,P,0.289398,0,0,-0.937125
SPXW 140110C2000000,2000,1/10/2014,C,0.202916,321,3004,0.004365
SPXW 140110P2000000,2000,1/10/2014,P,0.331231,0,0,-0.943826
SPXW 140110C2025000,2025,1/10/2014,C,0.208191,576,314,0.001547
SPXW 140110P2025000,2025,1/10/2014,P,0.369788,0,0,-0.949806
SPX 140118P1105000,1105,1/18/2014,P,0.776799,0,100,-0.000597
SPX 140118P1110000,1110,1/18/2014,P,0.770373,0,116,-0.000602
SPX 140118P1115000,1115,1/18/2014,P,0.763969,0,98,-0.000607
SPX 140118P1120000,1120,1/18/2014,P,0.757596,0,97,-0.000612
SPX 140118P1130000,1130,1/18/2014,P,0.744928,0,831,-0.000622
SPX 140118P1135000,1135,1/18/2014,P,0.738635,0,778,-0.000627
SPX 140118P1140000,1140,1/18/2014,P,0.732364,0,725,-0.000633
SPX 140118P1145000,1145,1/18/2014,P,0.72612,0,874,-0.000638
SPX 140118P1155000,1155,1/18/2014,P,0.713709,0,884,-0.000649
SPX 140118P1160000,1160,1/18/2014,P,0.70754,0,878,-0.000654
SPX 140118P1165000,1165,1/18/2014,P,0.701398,0,869,-0.00066
SPX 140118P1170000,1170,1/18/2014,P,0.695277,0,1000,-0.000665
SPX 140118P1175000,1175,1/18/2014,P,0.653389,0,10216,-0.000369
SPX 140118P1180000,1180,1/18/2014,P,0.683112,0,958,-0.000677
SPX 140118P1185000,1185,1/18/2014,P,0.677064,0,967,-0.000683
SPX 140118P1190000,1190,1/18/2014,P,0.671038,0,908,-0.000689
SPX 140118P1195000,1195,1/18/2014,P,0.66504,0,901,-0.000695
SPX 140118P1200000,1200,1/18/2014,P,0.659061,0,24530,-0.000701
SPX 140118P1205000,1205,1/18/2014,P,0.653105,0,960,-0.000707
SPX 140118P1210000,1210,1/18/2014,P,0.647172,0,1006,-0.000713
SPX 140118P1215000,1215,1/18/2014,P,0.641261,0,941,-0.000719
SPX 140118P1220000,1220,1/18/2014,P,0.635371,0,1105,-0.000726
SPX 140118P1225000,1225,1/18/2014,P,0.629509,0,9845,-0.000732
SPX 140118P1230000,1230,1/18/2014,P,0.623662,0,850,-0.000739
SPX 140118P1235000,1235,1/18/2014,P,0.617838,0,844,-0.000746
SPX 140118P1240000,1240,1/18/2014,P,0.612036,0,1160,-0.000753
SPX 140118P1245000,1245,1/18/2014,P,0.606255,0,893,-0.00076
SPX 140118P1250000,1250,1/18/2014,P,0.600494,200,24229,-0.000767
SPX 140118P1255000,1255,1/18/2014,P,0.594754,0,873,-0.000774
SPX 140118P1260000,1260,1/18/2014,P,0.589038,0,912,-0.000781
SPX 140118P1265000,1265,1/18/2014,P,0.583336,0,1010,-0.000788
SPX 140118P1270000,1270,1/18/2014,P,0.577655,0,965,-0.000796
SPX 140118P1275000,1275,1/18/2014,P,0.571997,1,7410,-0.000803
SPX 140118P1280000,1280,1/18/2014,P,0.586082,0,1032,-0.001145
SPX 140118P1285000,1285,1/18/2014,P,0.560737,0,846,-0.000819
SPX 140118P1290000,1290,1/18/2014,P,0.555135,0,866,-0.000827
SPX 140118P1295000,1295,1/18/2014,P,0.549557,0,932,-0.000835
SPX 140118P1300000,1300,1/18/2014,P,0.56303,24,51721,-0.001189
SPX 140118P1305000,1305,1/18/2014,P,0.557313,0,1131,-0.001201
SPX 140118P1310000,1310,1/18/2014,P,0.532921,0,1039,-0.00086
SPX 140118P1315000,1315,1/18/2014,P,0.560155,0,1032,-0.001561
SPX 140118P1320000,1320,1/18/2014,P,0.565968,1,1180,-0.0019
SPX 140118P1325000,1325,1/18/2014,P,0.560094,31,7284,-0.001919
SPX 140118P1330000,1330,1/18/2014,P,0.52902,1,1112,-0.001262
SPX 140118P1335000,1335,1/18/2014,P,0.537118,0,1205,-0.001625
SPX 140118P1340000,1340,1/18/2014,P,0.531404,1,3486,-0.001641
SPX 140118P1345000,1345,1/18/2014,P,0.525708,0,965,-0.001658
SPX 140118P1350000,1350,1/18/2014,P,0.520031,220,36823,-0.001675
SPX 140118P1355000,1355,1/18/2014,P,0.51437,0,976,-0.001693
SPX 140118P1360000,1360,1/18/2014,P,0.508727,0,3450,-0.001711
SPX 140118P1365000,1365,1/18/2014,P,0.503102,0,982,-0.001729
SPX 140118P1370000,1370,1/18/2014,P,0.497493,0,924,-0.001748
SPX 140118P1375000,1375,1/18/2014,P,0.491901,66,9498,-0.001767
SPX 140118P1380000,1380,1/18/2014,P,0.513424,0,997,-0.002842
SPX 140118P1385000,1385,1/18/2014,P,0.480767,20,4131,-0.001805
SPX 140118P1390000,1390,1/18/2014,P,0.494099,0,1613,-0.002557
SPX 140118P1395000,1395,1/18/2014,P,0.479751,0,742,-0.002223
SPX 140118P1400000,1400,1/18/2014,P,0.490227,2027,39389,-0.002969
SPX 140118P1405000,1405,1/18/2014,P,0.484469,0,5003,-0.003003
SPX 140118P1410000,1410,1/18/2014,P,0.478727,0,1359,-0.003037
SPX 140118P1415000,1415,1/18/2014,P,0.473001,0,1284,-0.003071
SPX 140118P1420000,1420,1/18/2014,P,0.46729,0,1806,-0.003107
SPX 140118P1425000,1425,1/18/2014,P,0.473911,1106,19369,-0.003861
SPX 140118P1430000,1430,1/18/2014,P,0.468103,475,6251,-0.003906
SPX 140118P1435000,1435,1/18/2014,P,0.46231,0,1446,-0.003952
SPX 140118P1440000,1440,1/18/2014,P,0.4446,20,2178,-0.003256
SPX 140118P1445000,1445,1/18/2014,P,0.455961,0,1003,-0.004409
SPX 140118P1450000,1450,1/18/2014,P,0.454934,2141,51467,-0.00482
SPX 140118P1455000,1455,1/18/2014,P,0.449093,0,1147,-0.004879
SPX 140118P1460000,1460,1/18/2014,P,0.443267,0,4685,-0.004939
SPX 140118P1465000,1465,1/18/2014,P,0.441784,0,1121,-0.005363
SPX 140118P1470000,1470,1/18/2014,P,0.435938,0,1161,-0.005431
SPX 140118P1475000,1475,1/18/2014,P,0.437871,232,14911,-0.006223
SPX 140118P1480000,1480,1/18/2014,P,0.428232,0,3570,-0.00594
SPX 140118P1485000,1485,1/18/2014,P,0.422382,0,1086,-0.006016
SPX 140118P1490000,1490,1/18/2014,P,0.420195,8,16977,-0.006467
SPX 140118P1495000,1495,1/18/2014,P,0.417759,10,1182,-0.006922
SPX 140118P1500000,1500,1/18/2014,P,0.418198,141,61809,-0.007746
SPX 140118P1505000,1505,1/18/2014,P,0.405986,1,1067,-0.00711
SPX 140118P1510000,1510,1/18/2014,P,0.406302,1,1256,-0.007957
SPX 140118P1515000,1515,1/18/2014,P,0.400372,1,1046,-0.008066
SPX 140118P1520000,1520,1/18/2014,P,0.397288,1,4250,-0.008556
SPX 140118P1525000,1525,1/18/2014,P,0.39915,154,36371,-0.00979
SPX 140118P1530000,1530,1/18/2014,P,0.395526,11106,12981,-0.010296
SPX 140118P1535000,1535,1/18/2014,P,0.382128,1,1115,-0.009314
SPX 140118P1540000,1540,1/18/2014,P,0.378691,0,3370,-0.009836
SPX 140118P1545000,1545,1/18/2014,P,0.375118,0,1058,-0.010369
